step_num,mean_true,mean_est,std_dev_est,theory_error_bound
2000,1974.85,1970.49,23.6083,32.0913
4000,3920.75,3905.54,44.7339,63.7122
6000,5855.1,5864.91,75.2637,95.1454
8000,7786.65,7798.69,90.4952,126.533
10000,9715,9728.33,160.648,157.869
12000,11646,11813.5,110.798,189.248
14000,13571.7,13643.4,161.03,220.54
16000,15496,15542.9,185.838,251.81
18000,17420.5,17455,217.649,283.083
20000,19348.2,19377.9,192.165,314.407
22000,21270.9,21313.5,209.349,345.652
24000,23194.2,23210.1,253.805,376.905
26000,25116.3,25153.2,320.658,408.14
28000,27033.5,27072.8,350.619,439.295
30000,28952.2,28960,377.176,470.474
32000,30869.8,30834.3,357.789,501.635
34000,32785.6,32753.5,365.236,532.765
36000,34705.6,34674.1,382.914,563.965
38000,36623.6,36596.9,421.838,595.134
40000,38537.7,38571,428.215,626.237
42000,40452.2,40426.8,479.558,657.347
44000,42366.7,42407,525.357,688.458
46000,44279.6,44403.8,522.296,719.543
48000,46189.2,46341.7,537.294,750.575
50000,48102.6,48269,519.016,781.666
52000,50010.2,50226.6,525.115,812.665
54000,51919.1,52089.9,625.477,843.685
56000,53827.2,54012.8,774.419,874.693
58000,55733.4,55917.8,795.761,905.668
60000,57638.4,57766.4,822.797,936.624
62000,59547.2,59742.6,867.604,967.641
64000,61455,61765.2,955.93,998.644
66000,63359,63637,1004.51,1029.58
68000,65263.9,65507.2,1021.42,1060.54
70000,67163.9,67472.4,1030.42,1091.41
72000,69068.9,69386.4,1011.26,1122.37
74000,70968.6,71262.6,971.182,1153.24
76000,72866.2,73232.3,1053.13,1184.08
78000,74767.5,75128.1,1052.88,1214.97
80000,76668.6,77001.9,1160.73,1245.86
82000,78564.1,78884.5,1261.22,1276.67
84000,80457.9,80683.6,1347.83,1307.44
86000,82359.9,82589,1465.82,1338.35
88000,84256.1,84413.2,1441.26,1369.16
90000,86154.6,86246.3,1517.65,1400.01
92000,88049.6,88107.9,1618.77,1430.81
94000,89944.7,89978.4,1515.36,1461.6
96000,91844.4,91909.9,1621.9,1492.47
98000,93740.1,93852.8,1731.55,1523.28
100000,95635.1,95666.9,1618.21,1554.07
